Peak Analysis								
								
Injection Details								
Injection Name:		rose_clean_site_14			Run Time (min):	37.97		
Vial Number:		18			Injection Volume:	20.00		
Injection Type:		Unknown			Channel:	TIC		
Calibration Level:					Wavelength:	n.a.		
Instrument Method:		SPME OFV			Bandwidth:	n.a.		
Processing Method:		3D Qualitative			Dilution Factor:	1.0000		
Injection Date/Time:		26/Jun/21 13:56			Sample Weight:	1.0000		
								
Chromatogram								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
n.a.	Napthlene, 1,6-dimethyl-4-1-methylethyl)-)	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
64	NA (silicate)	28.658	0.041	BMB	6.96	0.96	2724363	
65		28.763	n.a.	Rd	n.a.	n.a.	n.a.	
66		29.120	0.038	BMB	2.91	0.96	3323135	
67	NA (silicate)	29.304	0.037	BM 	3.13	1.48	3489524	
68	NA (silicate)	29.501	0.038	 MB	4.77	n.a.	3421788	
69		29.787	0.033	BM 	2.15	1.11	4482911	
70	NA (silicate)	29.910	0.034	 MB	8.94	2.68	4276211	
71	Sulindac sulfide	30.399	0.031	BMB	4.08	1.69	5462589	
72		30.444	n.a.	Rd	n.a.	n.a.	n.a.	
73	NA (SPME fiber)	30.610	0.030	BMB	3.04	1.07	5610347	
n.a.	NA (SPME fiber)	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
74		30.807	0.046	BM 	1.26	n.a.	2478936	
75	NA (silicate)	30.899	0.040	 M 	1.11	n.a.	3355318	
76		30.964	0.029	 MB	7.31	n.a.	6314344	
n.a.	NA (SPME fiber)	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
77	NA (SPME fiber)	31.307	0.026	BMB	4.81	0.71	7757814	
78		31.539	0.030	BM 	0.95	n.a.	5991835	
79	NA (silicate)	31.590	0.033	 M 	1.26	n.a.	5164698	
80	NA (silicate)	31.654	0.028	 M 	n.a.	n.a.	7251986	
81		31.716	n.a.	 M 	n.a.	n.a.	n.a.	
82	NA (silicate)	31.794	n.a.	Rd	n.a.	n.a.	n.a.	
83		31.892	n.a.	Ru	n.a.	n.a.	n.a.	
84		31.950	0.064	 MB	9.13	n.a.	1375893	
85		32.001	n.a.	Rd	n.a.	n.a.	n.a.	
n.a.	NA (SPME fiber)	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
86	NA (silicate)	32.624	0.023	BMB	9.92	1.24	11230774	
87	NA (silicate)	33.005	0.022	BMB	n.a.	1.29	12013668	
88	NA (silicate)	33.134	n.a.	BM 	n.a.	n.a.	n.a.	
89		33.164	n.a.	 MB	n.a.	n.a.	n.a.	
90		33.331	0.025	BMB	13.34	1.43	9794980	
n.a.	NA (SPME fiber)	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
91	NA (silicate)	33.858	0.022	BMB	9.45	1.01	13677599	
92	NA (silicate)	34.212	n.a.	Ru	n.a.	n.a.	n.a.	
93	NA (silicate)	34.270	0.030	BM 	3.12	1.88	7308561	
94	NA (silicate)	34.416	0.025	 MB	11.08	n.a.	10145091	
n.a.	Squalene	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	
95	NA (silicate)	34.851	0.021	BMB	8.64	1.12	15351565	
96	NA (silicate)	35.164	0.022	BMB	1.47	0.88	14446422	
97		35.222	0.025	BMB	3.10	1.47	11373269	
98	NA (silicate)	35.348	0.023	BMB	10.25	1.16	12748774	
99	NA (silicate)	35.766	0.025	BMB	9.73	1.68	11461031	
100	NA (silicate)	36.208	0.029	BMB	2.62	1.31	8783624	
101		36.341	0.031	BMB	8.39	1.09	7669471	
102		36.821	0.037	BMB	9.09	2.08	5615764	
103	NA (silicate)	37.416	0.041	BMB	n.a.	1.44	4674704	
